,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,halvad,23.0167,71.1833,92.52,21,0,8.75,IN,1619366012
1,basco,20.4487,121.9702,75.94,75,100,17.05,PH,1619366013
2,kapaa,22.0752,-159.319,73.4,78,75,13.8,US,1619366013
3,kununurra,-15.7667,128.7333,60.8,88,70,1.14,AU,1619366013
4,geraldton,-28.7667,114.6,62.6,82,0,3.44,AU,1619366014
5,torbay,47.6666,-52.7314,51.01,40,20,25.32,CA,1619366014
6,tasiilaq,65.6145,-37.6368,39.2,81,75,17.27,GL,1619366014
7,hithadhoo,-0.6,73.0833,83.41,66,47,4.52,MV,1619366015
8,vallenar,-28.5708,-70.7581,75.27,36,0,4.09,CL,1619366015
9,rikitea,-23.1203,-134.9692,77.32,75,80,7.85,PF,1619365928
10,iquitos,-3.7481,-73.2472,82.4,78,75,6.91,PE,1619365973
11,mehamn,71.0357,27.8492,35.6,55,0,6.91,NO,1619366015
12,san policarpo,13.3034,-4.8956,105.28,11,22,3.22,ML,1619366016
13,gravelbourg,49.8834,-106.5512,33.8,55,100,4.61,CA,1619366016
14,hobart,-42.8794,147.3294,57.2,62,90,11.5,AU,1619366016
15,alpine,32.835,-116.7664,59.0,67,90,4.21,US,1619366017
16,dingle,10.9995,122.6711,77.02,85,10,1.95,PH,1619366017
17,albany,42.6001,-73.9662,57.2,82,90,4.61,US,1619366017
18,bluff,-46.6,168.3333,42.01,81,78,8.01,NZ,1619366018
19,ilulissat,69.2167,-51.1,48.2,46,20,20.71,GL,1619366018
20,saiha,22.4833,92.9667,71.73,28,1,3.49,IN,1619366018
21,saint-ambroise,48.5501,-71.3324,57.0,44,57,5.75,CA,1619365738
22,samarai,-10.6167,150.6667,82.94,76,90,13.02,PG,1619366019
23,ushuaia,-54.8,-68.3,50.0,66,75,13.8,AR,1619365975
24,cape town,-36.413,-71.9028,55.4,82,0,10.36,CL,1619366019
25,mataura,-46.1927,168.8643,42.01,81,34,8.01,NZ,1619366020
26,kelso,46.1468,-122.9084,48.2,87,90,8.05,US,1619366020
27,biak,-0.9131,122.8766,75.83,80,92,3.69,ID,1619366020
28,guerrero negro,17.6667,-100.0,84.92,34,89,3.91,MX,1619366020
29,newport,51.5877,-2.9984,59.0,45,11,11.01,GB,1619366021
30,mount isa,53.6597,-1.8537,57.0,58,96,4.0,GB,1619366021
31,high level,33.6123,-95.7472,70.0,68,1,13.8,US,1619366021
32,fengzhen,40.4394,113.1536,50.97,71,100,11.9,CN,1619366022
33,lodja,-3.4833,23.4333,77.81,75,86,5.7,CD,1619366022
34,puerto ayora,36.5939,-6.233,69.8,73,20,12.66,ES,1619366022
35,provideniya,64.3833,-173.3,32.77,96,97,3.36,RU,1619366023
36,alekseyevsk,57.8406,108.3492,30.85,93,90,6.87,RU,1619366023
37,aitape,-3.1374,142.3475,76.48,87,100,5.53,PG,1619366023
38,chuy,-33.6971,-53.4616,67.75,54,9,12.06,UY,1619366024
39,isangel,-19.55,169.2667,77.41,79,100,9.55,VU,1619366024
40,port elizabeth,-7.0349,29.7638,74.46,77,96,1.48,CD,1619366024
41,jamestown,42.097,-79.2353,48.99,100,90,12.66,US,1619366024
42,krasnovishersk,60.4078,57.082,41.88,95,100,7.47,RU,1619365927
43,ouro preto do oeste,-27.3389,-51.6138,65.91,92,95,4.61,BR,1619366025
44,sterlibashevo,53.4376,55.2578,43.05,55,21,12.41,RU,1619366025
45,bredasdorp,-34.5322,20.0403,62.6,77,100,4.61,ZA,1619366026
46,nikolskoye,59.7035,30.7861,39.2,87,75,13.42,RU,1619366026
47,goure,13.9835,10.2704,105.01,10,100,5.99,NE,1619366026
48,banda aceh,25.4833,80.3333,89.92,9,84,5.66,IN,1619366026
49,butaritari,3.0707,172.7902,81.73,78,31,10.42,KI,1619366027
50,port alfred,-7.0349,29.7638,74.46,77,96,1.48,CD,1619366024
51,caravelas,-17.7125,-39.2481,85.84,56,13,9.33,BR,1619366027
52,lorengau,-2.0226,147.2712,80.29,77,100,4.07,PG,1619366028
53,ongandjera,-17.8833,15.0667,83.5,21,0,4.5,NA,1619366028
54,kavieng,-2.5744,150.7967,81.75,77,93,4.52,PG,1619366028
55,hay river,52.0705,-3.1274,57.0,51,17,4.0,GB,1619366028
56,punta arenas,8.9897,125.34,78.15,83,66,3.38,PH,1619366029
57,comodoro rivadavia,-13.6631,-59.7858,68.2,98,100,4.09,BR,1619366029
58,hermanus,-34.4187,19.2345,66.99,75,100,0.47,ZA,1619366029
59,tripoli,32.8752,13.1875,65.28,67,2,19.28,LY,1619366030
60,toora-khem,52.4675,96.11,25.9,83,94,4.43,RU,1619366030
61,dali,25.7,100.1833,59.54,37,5,5.55,CN,1619366030
62,upernavik,72.7868,-56.1549,35.04,86,33,4.99,GL,1619366031
63,castro,-24.7911,-50.0119,65.26,73,100,6.13,BR,1619365990
64,domoni,-12.2569,44.5319,79.57,86,96,7.31,KM,1619366031
65,kaitangata,-46.2817,169.8464,39.99,74,42,3.0,NZ,1619366031
66,lavrentiya,65.5833,-171.0,20.23,87,100,3.71,RU,1619366032
67,leningradskiy,69.3833,178.4167,12.69,89,16,4.61,RU,1619366032
68,saldanha,-33.0117,17.9442,64.4,82,100,9.22,ZA,1619366032
69,ponta do sol,38.7333,-28.2667,66.2,63,40,6.91,PT,1619366032
70,kampene,-3.6,26.6667,71.22,93,94,1.7,CD,1619366033
71,tashtyp,52.7939,89.8983,32.88,87,95,4.92,RU,1619366033
72,busselton,-33.65,115.3333,57.0,94,4,4.47,AU,1619366033
73,longyearbyen,78.2186,15.6401,23.0,63,40,16.11,SJ,1619366003
74,bethel,41.3712,-73.414,51.8,76,90,6.91,US,1619366034
75,fethiye,36.6217,29.1164,69.8,68,40,9.22,TR,1619366034
76,byron bay,44.0327,-92.6455,43.0,41,90,9.22,US,1619366034
77,new norfolk,6.6518,-10.5932,86.0,74,20,11.5,LR,1619366035
78,alyangula,-13.8483,136.4192,77.0,100,82,5.75,AU,1619366035
79,tautira,-17.7333,-149.15,73.4,83,40,3.44,PF,1619366035
80,carutapera,-1.195,-46.02,82.81,79,96,6.2,BR,1619366035
81,guangyuan,32.442,105.823,54.1,92,100,4.54,CN,1619366036
82,taltal,-25.4,-70.4833,67.01,71,8,6.73,CL,1619366036
83,hat yai,49.9464,18.2393,48.0,100,77,7.0,CZ,1619366036
84,vaitape,-16.5167,-151.75,80.51,66,7,3.6,PF,1619366037
